Sketch,Memory,Precision,Execution,TopARE,TopAAE
64*253,251,0.847,347.308,0.0439,222.098
64*680,357,0.887,357.621,0.0522,260.0617
64*1090,460,0.89,349.934,0.0586,290.6169
64*1500,563,0.891,302.253,0.0542,268.4989
64*1900,662,0.896,331.102,0.0575,284.7972
64*2300,763,0.891,291.851,0.0613,303.4846
64*2700,863,0.895,331.316,0.0572,287.2336
64*3100,963,0.901,292.274,0.0595,295.4594
64*3500,1063,0.895,344.416,0.0609,303.4061
,,,,,
128*253,333,0.88,410.851,0.0436,219.1287
256*253,497,0.898,300.295,0.0397,193.8087
512*253,825,0.914,292.312,0.0352,177.5107
768*253,1153,0.917,299.768,0.032,159.6656
,,,,,
768*64,585,0.896,306.171,0.0265,138.7168
1024*64,724,0.918,290.197,0.0274,140.8872
1280*64,864,0.926,308.115,0.0271,141.2099
1408*64,931,0.923,298.546,0.0253,134.1418
