Sketch,Top,Memory,Precision,Execution,TopARE,TopAAE
79*64,1033,170,0.903,124.557,0.0076,29.9196
79*64,1500,246,0.988,114.417,0.0014,5.4799
79*64,2000,288,0.994,100.943,0.0014,5.0146
79*64,2500,331,1,101.009,0.0003,1.092
79*64,3000,445,1,90.99,0.0001,0.4618
79*64,3500,488,1,84.751,0,0.121
79*64,4000,531,1,83.45,0,0.1181
79*64,4500,574,1,80.174,0,0.0687
79*64,5000,617,1,81.93,0,0.0494
,,,,,,
158*64,1033,210,0.922,122.407,0.0038,15.3739
237*64,1033,250,0.944,118.268,0.0037,14.8144
316*64,1033,290,0.947,155.36,0.004,15.9683
330*64,1033,297,0.947,140.256,0.004,15.8354
395*64,1033,330,0.955,133.079,0.0034,13.6322
474*64,1033,371,0.969,116.168,0.0035,13.7902
527*64,1033,398,0.967,144.556,0.0035,13.7898
553*64,1033,411,0.968,154.851,0.0032,13.291
632*64,1033,451,0.972,120.852,0.0035,13.5598
725*64,1033,498,0.97,146.944,0.0027,10.7355
922*64,1033,598,0.974,144.553,0.0026,10.2425
1120*64,1033,698,0.977,120.291,0.0025,10.2121
1317*64,1033,798,0.985,156.304,0.0017,6.591
1515*64,1033,897,0.982,161.626,0.0016,6.1499
1712*64,1033,996,0.989,134.824,0.0019,7.3376
1910*64,1033,1095,0.99,121.217,0.0016,6.3812
